trial_num	task	run	parent_session_id	child_session_id	brief_path
1	T4	1	20260420_214633_4a54d5	20260420_214643_ecf4a9	/tmp/r7.7-judge-briefs/armG/armG-T4-run1-brief.txt
2	T5	1	20260420_214706_9d0c7d	20260420_214711_99acf8	/tmp/r7.7-judge-briefs/armG/armG-T5-run1-brief.txt
3	T6	1	20260420_214754_6c8cd8	20260420_214759_7dd9e5	/tmp/r7.7-judge-briefs/armG/armG-T6-run1-brief.txt
4	T10	1	20260420_214954_484b8a	20260420_214959_d7d9fc	/tmp/r7.7-judge-briefs/armG/armG-T10-run1-brief.txt
5	T4	2	20260420_215518_2c9c99	20260420_215523_278ce3	/tmp/r7.7-judge-briefs/armG/armG-T4-run2-brief.txt
6	T5	2	20260420_215901_d784b1	20260420_215905_3e1c1e	/tmp/r7.7-judge-briefs/armG/armG-T5-run2-brief.txt
7	T6	2	20260420_220014_5e20bb	20260420_220019_b78a2e	/tmp/r7.7-judge-briefs/armG/armG-T6-run2-brief.txt
8	T10	2	20260420_220327_86cc78	20260420_220333_de8f04	/tmp/r7.7-judge-briefs/armG/armG-T10-run2-brief.txt
9	T4	3	20260420_220600_556a28	20260420_220605_4eae92	/tmp/r7.7-judge-briefs/armG/armG-T4-run3-brief.txt
10	T5	3	20260420_220622_56cadc	20260420_220626_30d4e9	/tmp/r7.7-judge-briefs/armG/armG-T5-run3-brief.txt
11	T6	3	20260420_221000_e3a26d	20260420_221005_8a66dd	/tmp/r7.7-judge-briefs/armG/armG-T6-run3-brief.txt
12	T10	3	20260420_221243_0cba13	20260420_221248_cdc104	/tmp/r7.7-judge-briefs/armG/armG-T10-run3-brief.txt
13	T4	4	20260420_222004_fca01e	20260420_222009_c0bf68	/tmp/r7.7-judge-briefs/armG/armG-T4-run4-brief.txt
14	T5	4	20260420_222848_226a88	20260420_222852_612e1e	/tmp/r7.7-judge-briefs/armG/armG-T5-run4-brief.txt
15	T6	4	20260420_222956_7b2ec7	20260420_223000_9c5dec	/tmp/r7.7-judge-briefs/armG/armG-T6-run4-brief.txt
16	T10	4	20260420_223628_ce75a1	20260420_223633_68af0c	/tmp/r7.7-judge-briefs/armG/armG-T10-run4-brief.txt
17	T4	5	20260420_224622_30d9e5	20260420_224627_47a867	/tmp/r7.7-judge-briefs/armG/armG-T4-run5-brief.txt
18	T5	5	20260420_224652_18420f	20260420_224656_c336c7	/tmp/r7.7-judge-briefs/armG/armG-T5-run5-brief.txt
19	T6	5	20260420_224840_ee8c4f	20260420_224844_f1dd2e	/tmp/r7.7-judge-briefs/armG/armG-T6-run5-brief.txt
20	T10	5	20260420_225424_bac87a	20260420_225429_27586a	/tmp/r7.7-judge-briefs/armG/armG-T10-run5-brief.txt
