trial_num	task	run	parent_session_id	child_session_id	a2_gate_outcome	brief_path
1	T4	1	20260420_170311_e637a5	20260420_170321_07f156	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T4-run1-brief.txt
2	T5	1	20260420_171957_1d5146	20260420_172002_fc5d66	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T5-run1-brief.txt
3	T4	2	20260420_193933_e60c16	20260420_193943_0a56f1	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T4-run2-brief.txt
4	T5	2	20260420_194022_26f7bc	20260420_194026_061a76	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T5-run2-brief.txt
5	T6	1	20260420_194104_12c0d8	20260420_194109_edff35	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T6-run1-brief.txt
6	T10	1	20260420_195822_365547	20260420_195828_fcc78a	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T10-run1-brief.txt
7	T4	3	20260420_195900_bd5f49	20260420_195904_cd8da9	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T4-run3-brief.txt
8	T5	3	20260420_200547_2347e2	20260420_200556_fcb1aa	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T5-run3-brief.txt
9	T6	2	20260420_200634_a3eec8	20260420_200640_e0b6c3	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T6-run2-brief.txt
10	T10	2	20260420_201421_a1597d	20260420_201425_b17b47	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T10-run2-brief.txt
11	T4	4	20260420_201539_619f4c	20260420_201545_ac9d79	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T4-run4-brief.txt
12	T5	4	20260420_201623_6c58e1	20260420_201628_059415	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T5-run4-brief.txt
13	T6	3	20260420_202009_3a63ff	20260420_202014_dbbbee	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T6-run3-brief.txt
14	T10	3	20260420_202124_6ec63e	20260420_202129_a7de2c	FABRICATED	/tmp/r7.7-judge-briefs/armF/armF-T10-run3-brief.txt
15	T4	5	20260420_202405_ed4589	20260420_202410_a8865b	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T4-run5-brief.txt
16	T5	5	20260420_202448_649b03	20260420_202452_e4e79b	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T5-run5-brief.txt
17	T6	4	20260420_202930_f3ba6e	20260420_202934_f17c30	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T6-run4-brief.txt
18	T10	4	20260420_203359_e9f686	20260420_203405_a2c18f	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T10-run4-brief.txt
19	T6	5	20260420_204949_9db097	20260420_204954_688f43	CLEAN	/tmp/r7.7-judge-briefs/armF/armF-T6-run5-brief.txt
20	T10	5	20260420_205158_780a70	20260420_205203_fb527e	FABRICATED	/tmp/r7.7-judge-briefs/armF/armF-T10-run5-brief.txt
