trial_num	task	run	parent_session_id	child_session_id	t1_fired	brief_path
1	T4	1	20260421_012233_6223f9	20260421_012242_2c0097	no	/tmp/r7.8-judge-briefs/armK/armK-T4-run1-brief.txt
2	T5	1	20260421_012313_65f1ae	20260421_012318_7ae241	no	/tmp/r7.8-judge-briefs/armK/armK-T5-run1-brief.txt
3	T6	1	20260421_012424_9f1430	20260421_012428_49691d	no	/tmp/r7.8-judge-briefs/armK/armK-T6-run1-brief.txt
4	T10	1	20260421_013104_04c536	20260421_013109_90f8b1	no	/tmp/r7.8-judge-briefs/armK/armK-T10-run1-brief.txt
5	T4	2	20260421_015256_a53f39	20260421_015301_c1b784	no	/tmp/r7.8-judge-briefs/armK/armK-T4-run2-brief.txt
6	T5	2	20260421_015942_47afc4	20260421_015951_f67af1	no	/tmp/r7.8-judge-briefs/armK/armK-T5-run2-brief.txt
7	T6	2	20260421_020053_820cf9	20260421_020056_991c6a	no	/tmp/r7.8-judge-briefs/armK/armK-T6-run2-brief.txt
8	T10	2	20260421_020523_372164	20260421_020528_e7ccff	yes	/tmp/r7.8-judge-briefs/armK/armK-T10-run2-brief.txt
9	T4	3	20260421_021044_a3bcb7	20260421_021049_db76bb	no	/tmp/r7.8-judge-briefs/armK/armK-T4-run3-brief.txt
10	T5	3	20260421_021134_b20e04	20260421_021139_e4bba2	yes	/tmp/r7.8-judge-briefs/armK/armK-T5-run3-brief.txt
11	T6	3	20260421_022303_2b8250	20260421_022312_a6f642	no	/tmp/r7.8-judge-briefs/armK/armK-T6-run3-brief.txt
12	T10	3	20260421_022344_dd5257	20260421_022348_5529be	no	/tmp/r7.8-judge-briefs/armK/armK-T10-run3-brief.txt
13	T4	4	20260421_023044_ce0b6c	20260421_023049_fd623f	no	/tmp/r7.8-judge-briefs/armK/armK-T4-run4-brief.txt
14	T5	4	20260421_023145_ec4ab2	20260421_023149_f04fbe	no	/tmp/r7.8-judge-briefs/armK/armK-T5-run4-brief.txt
15	T6	4	20260421_023345_b9d0e5	20260421_023350_b33730	no	/tmp/r7.8-judge-briefs/armK/armK-T6-run4-brief.txt
16	T10	4	20260421_024712_9b3281	20260421_024721_6917a0	yes	/tmp/r7.8-judge-briefs/armK/armK-T10-run4-brief.txt
17	T4	5	20260421_024903_24915e	20260421_024908_7f501d	no	/tmp/r7.8-judge-briefs/armK/armK-T4-run5-brief.txt
18	T5	5	20260421_025013_00d1a1	20260421_025018_cea29c	no	/tmp/r7.8-judge-briefs/armK/armK-T5-run5-brief.txt
19	T6	5	20260421_025133_a8742e	20260421_025138_2e5cbc	no	/tmp/r7.8-judge-briefs/armK/armK-T6-run5-brief.txt
20	T10	5	20260421_025334_d775ed	20260421_025339_39a383	yes	/tmp/r7.8-judge-briefs/armK/armK-T10-run5-brief.txt
